N12 near-field focus optimization report
Layout: ring_1_4_7 (agent_parametric_best.csv)
Algorithm: differential evolution on amplitude + phase offset.
Near-field model: exact spherical propagation + piston element pattern.
Focus region exclusion: 3.0 deg around focal direction.

case           dist     tx     ty    u_dBc   u_gain    o_dBc   o_gain     o_SL  meanAmp
R0.2_x0_y0      0.2    0.0    0.0     3.13     0.00     5.07    -6.71    -5.07     0.55
R0.2_x15_y0     0.2   15.0    0.0     2.00     0.00     3.71    -4.05    -3.71     0.68
R0.2_x-15_y0    0.2  -15.0    0.0     2.00     0.00     3.72    -4.84    -3.72     0.62
R0.2_x0_y15     0.2    0.0   15.0     2.00     0.00     3.69    -4.31    -3.69     0.64
R0.5_x0_y0      0.5    0.0    0.0     3.33     0.00     5.35    -5.50    -5.35     0.60
R0.5_x15_y0     0.5   15.0    0.0     2.12     0.00     3.73    -3.32    -3.73     0.73
R0.5_x-15_y0    0.5  -15.0    0.0     2.11     0.00     3.72    -3.71    -3.72     0.70
R0.5_x0_y15     0.5    0.0   15.0     2.12     0.00     3.72    -3.77    -3.72     0.68
R0.8_x0_y0      0.8    0.0    0.0     3.36     0.00     5.39    -5.48    -5.39     0.59
R0.8_x15_y0     0.8   15.0    0.0     2.13     0.00     3.73    -3.29    -3.73     0.74
R0.8_x-15_y0    0.8  -15.0    0.0     2.13     0.00     3.72    -3.45    -3.72     0.72
R0.8_x0_y15     0.8    0.0   15.0     2.13     0.00     3.72    -3.80    -3.72     0.68
R1.0_x0_y0      1.0    0.0    0.0     3.36     0.00     5.39    -4.39    -5.39     0.67
R1.0_x15_y0     1.0   15.0    0.0     2.13     0.00     3.73    -3.91    -3.73     0.68
R1.0_x-15_y0    1.0  -15.0    0.0     2.13     0.00     3.72    -3.36    -3.72     0.73
R1.0_x0_y15     1.0    0.0   15.0     2.13     0.00     3.73    -3.80    -3.73     0.68
