case,distance_m,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,amplitude,phase_offset_deg
R0.2_x0_y0,0.2,0.0,0.0,U00,0.000,0.000,0.589015,42.095
R0.2_x0_y0,0.2,0.0,0.0,U01,14.280,10.958,0.189680,-73.138
R0.2_x0_y0,0.2,0.0,0.0,U02,-10.958,14.280,0.000000,37.931
R0.2_x0_y0,0.2,0.0,0.0,U03,-14.280,-10.958,0.150584,-75.054
R0.2_x0_y0,0.2,0.0,0.0,U04,10.958,-14.280,0.154991,-95.797
R0.2_x0_y0,0.2,0.0,0.0,U05,35.097,8.011,0.748669,-62.780
R0.2_x0_y0,0.2,0.0,0.0,U06,15.620,32.435,0.795310,-63.784
R0.2_x0_y0,0.2,0.0,0.0,U07,-15.620,32.435,0.791598,-63.686
R0.2_x0_y0,0.2,0.0,0.0,U08,-35.097,8.011,0.795420,-64.483
R0.2_x0_y0,0.2,0.0,0.0,U09,-28.146,-22.446,0.754086,-63.199
R0.2_x0_y0,0.2,0.0,0.0,U10,-0.000,-36.000,0.781773,-62.096
R0.2_x0_y0,0.2,0.0,0.0,U11,28.146,-22.446,0.813594,-61.956
R0.2_x15_y0,0.2,15.0,0.0,U00,0.000,0.000,0.198450,37.388
R0.2_x15_y0,0.2,15.0,0.0,U01,14.280,10.958,0.341283,39.737
R0.2_x15_y0,0.2,15.0,0.0,U02,-10.958,14.280,0.435748,-35.746
R0.2_x15_y0,0.2,15.0,0.0,U03,-14.280,-10.958,0.820155,-7.745
R0.2_x15_y0,0.2,15.0,0.0,U04,10.958,-14.280,0.428603,-44.939
R0.2_x15_y0,0.2,15.0,0.0,U05,35.097,8.011,0.925135,-11.088
R0.2_x15_y0,0.2,15.0,0.0,U06,15.620,32.435,0.834093,-22.764
R0.2_x15_y0,0.2,15.0,0.0,U07,-15.620,32.435,0.911745,-46.165
R0.2_x15_y0,0.2,15.0,0.0,U08,-35.097,8.011,0.802940,-14.007
R0.2_x15_y0,0.2,15.0,0.0,U09,-28.146,-22.446,0.932892,-29.191
R0.2_x15_y0,0.2,15.0,0.0,U10,-0.000,-36.000,0.583082,-34.880
R0.2_x15_y0,0.2,15.0,0.0,U11,28.146,-22.446,0.951303,-14.519
