generation,best_fitness,mean_fitness
0,192.517614,494.548008
1,190.310221,489.682830
2,-7.293839,384.444876
3,-7.293839,424.553175
4,-7.293839,451.957687
5,-7.348734,332.065821
6,-8.821308,274.456375
7,-8.821308,197.019385
8,-8.821308,121.719804
9,-8.837330,144.280202
10,-9.656911,166.738016
11,-9.656911,149.244474
12,-9.656911,96.689088
13,-9.656911,76.892202
14,-9.656911,76.546712
15,-9.656911,89.193483
16,-9.848634,94.205451
17,-9.912269,88.835258
18,-9.912269,81.571374
19,-9.912269,59.019246
20,-9.912269,81.657556
21,-9.912269,111.652133
22,-9.981130,78.978770
23,-9.981130,68.808158
24,-9.981130,58.915604
25,-9.981130,74.056328
26,-9.981130,69.145116
27,-9.981130,66.621461
28,-10.140221,61.646216
29,-10.140221,61.526543
30,-10.140221,83.945698
31,-10.140221,93.983447
32,-10.140221,98.855467
33,-10.140221,86.361922
34,-10.140221,114.124832
35,-10.140221,96.701513
36,-10.140221,86.729935
37,-10.140221,91.675188
38,-10.140221,83.799916
39,-10.140221,106.211249
40,-10.383182,101.213561
41,-10.383182,111.096393
42,-10.383182,66.194397
43,-10.383182,71.083142
44,-10.383182,71.344470
45,-10.383182,81.228402
46,-10.383182,78.782327
47,-10.383182,78.708209
48,-10.383182,86.431751
49,-10.383182,81.449614
50,-10.383182,71.520241
51,-10.383182,73.881769
52,-10.383182,66.508856
53,-10.383182,66.669558
54,-10.385902,73.835763
55,-10.385902,86.488955
56,-10.385902,76.614317
57,-10.385902,78.997484
58,-10.385902,91.181948
59,-10.385902,81.394484
60,-10.385902,98.840280
61,-10.385902,108.840219
62,-10.385902,101.294301
63,-10.385902,94.032532
64,-10.385902,86.337948
65,-10.385902,91.358166
66,-10.385902,83.911645
67,-10.385902,63.904805
68,-10.385902,68.879670
69,-10.385902,73.966544
70,-10.385902,66.445474
71,-10.385902,56.485395
72,-10.385902,58.934485
73,-10.385902,63.842261
74,-10.385902,86.561332
75,-10.385902,91.469705
76,-10.385902,88.950209
77,-10.385902,64.149750
78,-10.385902,46.545463
79,-10.385902,76.559449
