rank,name,score,min_spacing_mm,center_radius_mm,width_centers_mm,height_centers_mm,recommended_unit_width_mm,worst_max_sidelobe_db,worst_p99_sidelobe_db
1,ring_1_4_7_r18.0_36.0_rot4_37.5_rot7_12.9,-9.107703,18.000000,36.000000,70.194810,68.434879,90.194810,-5.918520,-9.111952
2,ring_1_4_7_r18.0_36.0_rot4_37.5_rot7_38.6,-9.107703,18.000000,36.000000,70.194810,68.434879,90.194810,-5.918520,-9.111952
3,ring_1_4_7_r18.0_37.0_rot4_37.5_rot7_12.9,-8.961335,18.000000,37.000000,72.144666,70.335848,92.144666,-5.750722,-9.173180
4,ring_1_4_7_r18.0_37.0_rot4_37.5_rot7_38.6,-8.961335,18.000000,37.000000,72.144666,70.335848,92.144666,-5.750722,-9.173180
5,ring_1_4_7_r19.0_38.0_rot4_37.5_rot7_12.9,-8.920923,19.000000,38.000000,74.094521,72.236817,94.094521,-5.670117,-9.288019
6,ring_5_7_r21.0_41.0_rot5_24.0_rot7_0.0,-8.754943,20.076906,41.000000,77.939724,79.944089,99.944089,-5.477491,-9.364148
7,ring_5_7_r21.0_41.0_rot5_60.0_rot7_25.7,-8.754943,20.076906,41.000000,77.939724,79.944089,99.944089,-5.477491,-9.364148
8,ring_5_7_r22.0_42.0_rot5_60.0_rot7_25.7,-8.647310,20.082522,42.000000,79.840692,81.893945,101.893945,-5.357896,-9.398326
9,ring_5_7_r22.0_42.0_rot5_24.0_rot7_0.0,-8.647310,20.082522,42.000000,79.840692,81.893945,101.893945,-5.357896,-9.398326
10,sunflower_r39.114_rot251.999,-8.631315,17.456453,37.479651,66.204727,66.081590,86.204727,-5.219175,-9.748972
11,sunflower_r39.111_rot251.999,-8.630692,17.455309,37.477194,66.199704,66.079274,86.199704,-5.218838,-9.748153
12,ring_5_7_r22.0_43.0_rot5_60.0_rot7_25.7,-8.622314,21.080475,43.000000,81.741661,83.843800,103.843800,-5.366788,-9.301503
13,sunflower_r39.891_rot252.001,-8.559299,17.803583,38.224952,67.534477,67.356087,87.534477,-5.264028,-9.415061
