case,steer_x_deg,steer_y_deg,element_id,x_mm,y_mm,amplitude,phase_offset_deg,total_phase_deg
broadside,0.0,0.0,U00,11.000,19.053,0.865350,-49.352,-49.352
broadside,0.0,0.0,U01,-14.721,16.349,0.999171,-49.602,-49.602
broadside,0.0,0.0,U02,-20.098,-8.948,0.560988,-43.274,-43.274
broadside,0.0,0.0,U03,2.300,-21.879,0.999514,-48.212,-48.212
broadside,0.0,0.0,U04,21.519,-4.574,0.997260,-48.391,-48.391
broadside,0.0,0.0,U05,41.000,-0.000,0.672963,-48.732,-48.732
broadside,0.0,0.0,U06,25.563,32.055,0.646939,-47.472,-47.472
broadside,0.0,0.0,U07,-9.123,39.972,0.911180,-48.269,-48.269
broadside,0.0,0.0,U08,-36.940,17.789,0.789911,-50.631,-50.631
broadside,0.0,0.0,U09,-36.940,-17.789,0.437078,-45.576,-45.576
broadside,0.0,0.0,U10,-9.123,-39.972,0.804880,-48.684,-48.684
broadside,0.0,0.0,U11,25.563,-32.055,0.918797,-49.615,-49.615
steer_x15,15.0,0.0,U00,11.000,19.053,0.975091,29.161,-90.364
steer_x15,15.0,0.0,U01,-14.721,16.349,0.999720,58.081,-141.962
steer_x15,15.0,0.0,U02,-20.098,-8.948,0.780400,28.143,-113.475
steer_x15,15.0,0.0,U03,2.300,-21.879,0.406423,24.137,-0.855
steer_x15,15.0,0.0,U04,21.519,-4.574,0.988082,43.131,169.309
steer_x15,15.0,0.0,U05,41.000,-0.000,0.681854,36.051,-49.450
steer_x15,15.0,0.0,U06,25.563,32.055,0.561126,33.528,115.764
steer_x15,15.0,0.0,U07,-9.123,39.972,0.866789,36.768,135.898
steer_x15,15.0,0.0,U08,-36.940,17.789,0.909216,29.758,71.143
steer_x15,15.0,0.0,U09,-36.940,-17.789,0.672939,29.818,71.203
steer_x15,15.0,0.0,U10,-9.123,-39.972,0.888219,44.088,143.217
steer_x15,15.0,0.0,U11,25.563,-32.055,0.999990,44.662,126.898
steer_x-15,-15.0,0.0,U00,11.000,19.053,0.935799,-95.420,24.105
steer_x-15,-15.0,0.0,U01,-14.721,16.349,0.984972,-123.891,76.152
steer_x-15,-15.0,0.0,U02,-20.098,-8.948,0.818560,-98.705,42.913
steer_x-15,-15.0,0.0,U03,2.300,-21.879,0.367196,-96.725,-71.733
steer_x-15,-15.0,0.0,U04,21.519,-4.574,0.989557,-111.657,122.166
steer_x-15,-15.0,0.0,U05,41.000,-0.000,0.689667,-105.176,-19.676
steer_x-15,-15.0,0.0,U06,25.563,32.055,0.526873,-98.790,178.974
steer_x-15,-15.0,0.0,U07,-9.123,39.972,0.869633,-99.200,161.670
steer_x-15,-15.0,0.0,U08,-36.940,17.789,0.885233,-97.050,-138.435
steer_x-15,-15.0,0.0,U09,-36.940,-17.789,0.808072,-98.446,-139.831
steer_x-15,-15.0,0.0,U10,-9.123,-39.972,0.842034,-109.988,150.883
steer_x-15,-15.0,0.0,U11,25.563,-32.055,1.000000,-113.710,164.054
steer_y15,0.0,15.0,U00,11.000,19.053,0.958217,10.264,163.238
steer_y15,0.0,15.0,U01,-14.721,16.349,0.987591,-0.349,-177.994
steer_y15,0.0,15.0,U02,-20.098,-8.948,0.981633,0.078,97.307
steer_y15,0.0,15.0,U03,2.300,-21.879,0.992198,14.659,-107.606
steer_y15,0.0,15.0,U04,21.519,-4.574,0.279137,-4.382,45.319
steer_y15,0.0,15.0,U05,41.000,-0.000,0.498654,11.651,11.652
steer_y15,0.0,15.0,U06,25.563,32.055,0.749245,-0.214,11.482
steer_y15,0.0,15.0,U07,-9.123,39.972,0.911808,27.089,-47.241
steer_y15,0.0,15.0,U08,-36.940,17.789,0.814737,1.454,168.162
steer_y15,0.0,15.0,U09,-36.940,-17.789,0.682664,5.148,-161.558
steer_y15,0.0,15.0,U10,-9.123,-39.972,0.856280,14.406,88.737
steer_y15,0.0,15.0,U11,25.563,-32.055,0.997920,1.412,-10.282
steer_y-15,0.0,-15.0,U00,11.000,19.053,0.976473,85.116,-67.857
steer_y-15,0.0,-15.0,U01,-14.721,16.349,0.978661,92.118,-90.237
steer_y-15,0.0,-15.0,U02,-20.098,-8.948,0.941200,96.551,-0.678
steer_y-15,0.0,-15.0,U03,2.300,-21.879,0.950309,83.040,-154.696
steer_y-15,0.0,-15.0,U04,21.519,-4.574,0.413701,97.451,47.750
steer_y-15,0.0,-15.0,U05,41.000,-0.000,0.633232,81.418,81.417
steer_y-15,0.0,-15.0,U06,25.563,32.055,0.890012,90.099,78.404
steer_y-15,0.0,-15.0,U07,-9.123,39.972,0.887979,69.285,143.615
steer_y-15,0.0,-15.0,U08,-36.940,17.789,0.736545,89.659,-77.049
steer_y-15,0.0,-15.0,U09,-36.940,-17.789,0.551295,69.028,-124.266
steer_y-15,0.0,-15.0,U10,-9.123,-39.972,0.761239,76.135,1.803
steer_y-15,0.0,-15.0,U11,25.563,-32.055,1.000000,94.526,106.220
