global_id,unit_id,unit_angle_deg,element_id,x_m,y_m,z_m,amplitude,phase_rad,phase_deg
0,0,-45.0,0,-0.124765,0.000000,-0.124765,0.914067,2.125357,121.774
1,0,-45.0,1,-0.114668,0.010958,-0.134863,0.680353,-0.796506,-45.636
2,0,-45.0,2,-0.132514,0.014280,-0.117017,0.715843,-0.691734,-39.633
3,0,-45.0,3,-0.134863,-0.010958,-0.114668,0.785987,-2.633058,-150.863
4,0,-45.0,4,-0.117017,-0.014280,-0.132514,0.191793,1.409598,80.764
5,0,-45.0,5,-0.099948,0.008011,-0.149582,0.367275,-1.806298,-103.493
6,0,-45.0,6,-0.113720,0.032435,-0.135810,0.812255,-1.496054,-85.718
7,0,-45.0,7,-0.135810,0.032435,-0.113720,0.653964,-2.804336,-160.677
8,0,-45.0,8,-0.149582,0.008011,-0.099948,0.661310,-1.660526,-95.141
9,0,-45.0,9,-0.144667,-0.022446,-0.104863,0.595660,0.040702,2.332
10,0,-45.0,10,-0.124765,-0.036000,-0.124765,0.261035,-0.534725,-30.638
11,0,-45.0,11,-0.104863,-0.022446,-0.144667,0.364057,1.684300,96.503
12,1,-22.5,0,-0.067522,0.000000,-0.163013,0.045898,1.543857,88.457
13,1,-22.5,1,-0.054329,0.010958,-0.168478,0.103833,2.443230,139.987
14,1,-22.5,2,-0.077646,0.014280,-0.158820,0.285588,0.912493,52.282
15,1,-22.5,3,-0.080715,-0.010958,-0.157549,0.309668,-1.125543,-64.489
16,1,-22.5,4,-0.057399,-0.014280,-0.167207,0.640289,0.185270,10.615
17,1,-22.5,5,-0.035097,0.008011,-0.176445,0.060312,2.529115,144.908
18,1,-22.5,6,-0.053091,0.032435,-0.168991,0.594630,0.643645,36.878
19,1,-22.5,7,-0.081953,0.032435,-0.157036,0.011210,-2.998624,-171.808
20,1,-22.5,8,-0.099948,0.008011,-0.149582,0.540184,1.025018,58.729
21,1,-22.5,9,-0.093526,-0.022446,-0.152242,0.231945,0.971007,55.635
22,1,-22.5,10,-0.067522,-0.036000,-0.163013,0.773310,-0.584224,-33.474
23,1,-22.5,11,-0.041519,-0.022446,-0.173785,0.000000,2.377600,136.226
24,2,0.0,0,0.000000,0.000000,-0.176445,0.875421,0.585612,33.553
25,2,0.0,1,0.014280,0.010958,-0.176445,1.000000,-0.122420,-7.014
26,2,0.0,2,-0.010958,0.014280,-0.176445,0.000000,-2.561945,-146.789
27,2,0.0,3,-0.014280,-0.010958,-0.176445,0.851406,1.135755,65.074
28,2,0.0,4,0.010958,-0.014280,-0.176445,1.000000,0.104394,5.981
29,2,0.0,5,0.035097,0.008011,-0.176445,0.954180,0.545045,31.229
30,2,0.0,6,0.015620,0.032435,-0.176445,0.479247,-0.924488,-52.969
31,2,0.0,7,-0.015620,0.032435,-0.176445,0.255811,-0.699641,-40.086
32,2,0.0,8,-0.035097,0.008011,-0.176445,0.633201,0.076082,4.359
33,2,0.0,9,-0.028146,-0.022446,-0.176445,0.481536,0.461201,26.425
34,2,0.0,10,0.000000,-0.036000,-0.176445,0.595674,-0.006898,-0.395
35,2,0.0,11,0.028146,-0.022446,-0.176445,0.760617,0.357297,20.472
36,3,22.5,0,0.067522,0.000000,-0.163013,0.253990,-0.873378,-50.041
37,3,22.5,1,0.080715,0.010958,-0.157549,0.002681,-0.742717,-42.555
38,3,22.5,2,0.057399,0.014280,-0.167207,0.998099,-0.255613,-14.646
39,3,22.5,3,0.054329,-0.010958,-0.168478,0.501547,0.070147,4.019
40,3,22.5,4,0.077646,-0.014280,-0.158820,0.205916,1.947442,111.580
41,3,22.5,5,0.099948,0.008011,-0.149582,0.899678,0.936176,53.639
42,3,22.5,6,0.081953,0.032435,-0.157036,0.405437,-0.575724,-32.987
43,3,22.5,7,0.053091,0.032435,-0.168991,0.162602,-3.141593,-180.000
44,3,22.5,8,0.035097,0.008011,-0.176445,0.700606,-0.124171,-7.114
45,3,22.5,9,0.041519,-0.022446,-0.173785,0.531523,1.404305,80.461
46,3,22.5,10,0.067522,-0.036000,-0.163013,0.229912,0.592308,33.937
47,3,22.5,11,0.093526,-0.022446,-0.152242,0.051801,2.868178,164.335
48,4,45.0,0,0.124765,0.000000,-0.124765,0.665760,2.184817,125.181
49,4,45.0,1,0.134863,0.010958,-0.114668,0.122268,2.498763,143.169
50,4,45.0,2,0.117017,0.014280,-0.132514,0.876874,1.524995,87.376
51,4,45.0,3,0.114668,-0.010958,-0.134863,0.588249,2.936674,168.259
52,4,45.0,4,0.132514,-0.014280,-0.117017,0.923235,-2.166452,-124.129
53,4,45.0,5,0.149582,0.008011,-0.099948,0.707333,-1.999769,-114.578
54,4,45.0,6,0.135810,0.032435,-0.113720,0.066905,0.654570,37.504
55,4,45.0,7,0.113720,0.032435,-0.135810,0.706934,-0.143917,-8.246
56,4,45.0,8,0.099948,0.008011,-0.149582,0.525286,-2.881560,-165.101
57,4,45.0,9,0.104863,-0.022446,-0.144667,0.468672,1.588526,91.016
58,4,45.0,10,0.124765,-0.036000,-0.124765,0.859240,-0.081684,-4.680
59,4,45.0,11,0.144667,-0.022446,-0.104863,0.726046,2.416852,138.475
