global_id,unit_id,unit_angle_deg,element_id,x_m,y_m,z_m,amplitude
0,0,-45.0,0,-0.124765,0.000000,-0.124765,0.215807
1,0,-45.0,1,-0.114668,0.010958,-0.134863,0.658401
2,0,-45.0,2,-0.132514,0.014280,-0.117017,0.376725
3,0,-45.0,3,-0.134863,-0.010958,-0.114668,0.861127
4,0,-45.0,4,-0.117017,-0.014280,-0.132514,0.795310
5,0,-45.0,5,-0.099948,0.008011,-0.149582,0.984512
6,0,-45.0,6,-0.113720,0.032435,-0.135810,0.617263
7,0,-45.0,7,-0.135810,0.032435,-0.113720,0.417491
8,0,-45.0,8,-0.149582,0.008011,-0.099948,0.269927
9,0,-45.0,9,-0.144667,-0.022446,-0.104863,0.737815
10,0,-45.0,10,-0.124765,-0.036000,-0.124765,0.143986
11,0,-45.0,11,-0.104863,-0.022446,-0.144667,0.396710
12,1,-22.5,0,-0.067522,0.000000,-0.163013,0.618740
13,1,-22.5,1,-0.054329,0.010958,-0.168478,0.976959
14,1,-22.5,2,-0.077646,0.014280,-0.158820,0.939021
15,1,-22.5,3,-0.080715,-0.010958,-0.157549,0.962109
16,1,-22.5,4,-0.057399,-0.014280,-0.167207,0.930242
17,1,-22.5,5,-0.035097,0.008011,-0.176445,0.428477
18,1,-22.5,6,-0.053091,0.032435,-0.168991,0.071713
19,1,-22.5,7,-0.081953,0.032435,-0.157036,0.071387
20,1,-22.5,8,-0.099948,0.008011,-0.149582,0.003095
21,1,-22.5,9,-0.093526,-0.022446,-0.152242,0.562526
22,1,-22.5,10,-0.067522,-0.036000,-0.163013,0.381116
23,1,-22.5,11,-0.041519,-0.022446,-0.173785,0.943965
24,2,0.0,0,0.000000,0.000000,-0.176445,0.751462
25,2,0.0,1,0.014280,0.010958,-0.176445,0.740136
26,2,0.0,2,-0.010958,0.014280,-0.176445,1.000000
27,2,0.0,3,-0.014280,-0.010958,-0.176445,0.719859
28,2,0.0,4,0.010958,-0.014280,-0.176445,0.646602
29,2,0.0,5,0.035097,0.008011,-0.176445,0.644133
30,2,0.0,6,0.015620,0.032435,-0.176445,0.370737
31,2,0.0,7,-0.015620,0.032435,-0.176445,0.446398
32,2,0.0,8,-0.035097,0.008011,-0.176445,0.041937
33,2,0.0,9,-0.028146,-0.022446,-0.176445,0.732050
34,2,0.0,10,0.000000,-0.036000,-0.176445,0.246149
35,2,0.0,11,0.028146,-0.022446,-0.176445,0.448064
36,3,22.5,0,0.067522,0.000000,-0.163013,1.000000
37,3,22.5,1,0.080715,0.010958,-0.157549,0.831955
38,3,22.5,2,0.057399,0.014280,-0.167207,0.347756
39,3,22.5,3,0.054329,-0.010958,-0.168478,0.792537
40,3,22.5,4,0.077646,-0.014280,-0.158820,0.849015
41,3,22.5,5,0.099948,0.008011,-0.149582,0.311371
42,3,22.5,6,0.081953,0.032435,-0.157036,0.341215
43,3,22.5,7,0.053091,0.032435,-0.168991,0.367839
44,3,22.5,8,0.035097,0.008011,-0.176445,0.266851
45,3,22.5,9,0.041519,-0.022446,-0.173785,0.411793
46,3,22.5,10,0.067522,-0.036000,-0.163013,0.075988
47,3,22.5,11,0.093526,-0.022446,-0.152242,0.580617
48,4,45.0,0,0.124765,0.000000,-0.124765,0.454511
49,4,45.0,1,0.134863,0.010958,-0.114668,0.597095
50,4,45.0,2,0.117017,0.014280,-0.132514,0.545953
51,4,45.0,3,0.114668,-0.010958,-0.134863,0.299400
52,4,45.0,4,0.132514,-0.014280,-0.117017,0.366476
53,4,45.0,5,0.149582,0.008011,-0.099948,0.031162
54,4,45.0,6,0.135810,0.032435,-0.113720,0.762383
55,4,45.0,7,0.113720,0.032435,-0.135810,0.505820
56,4,45.0,8,0.099948,0.008011,-0.149582,0.040252
57,4,45.0,9,0.104863,-0.022446,-0.144667,0.481913
58,4,45.0,10,0.124765,-0.036000,-0.124765,0.463248
59,4,45.0,11,0.144667,-0.022446,-0.104863,0.387068
