z_mm,angle_deg,x_mm,method,pressure_psl_db,audio_proxy_psl_db,pressure_p99_5_db,focus_error_mm,fwhm_x_mm,fwhm_y_mm,target_gain_vs_onaxis200_db,target_amp
60,0,0.0,phase_only,-4.149654998708587,-8.299309997417174,-7.563286051046066,1.4142135623730951,7.660243521031511,7.660602484567817,-0.37268652995166796,121.90540243773418
60,0,0.0,rls_amp,-8.991027201015969,-17.982054402031938,-10.86563391542373,1.4142135623730951,9.952928605063207,9.987056230671127,-3.2260366013212294,87.7718897551842
60,10,10.579618842507898,phase_only,-3.4586560372574233,-6.917312074514847,-7.241238064440202,1.4142135623730951,7.614077808977905,7.635673617112498,-0.6931025761428972,117.49033719127334
60,10,10.579618842507898,rls_amp,-8.21587895654719,-16.43175791309438,-10.194741453273926,1.4142135623730951,9.917217844081959,9.837726653514299,-3.546452647514076,84.5930427777148
60,15,16.07695154586736,phase_only,-2.733651384659897,-5.467302769319794,-7.383256156246772,1.4142135623730951,7.296222792467189,7.524851675920527,-0.8924977662014273,114.823925668857
60,15,16.07695154586736,rls_amp,-8.11943075132418,-16.23886150264836,-9.838874002096322,1.4142135623730951,9.760197043971564,9.87570982822987,-3.745847837570065,82.67322648159845
80,0,0.0,phase_only,-5.936455038158678,-11.872910076317355,-8.487733092366966,1.4142135623730951,8.583983982068387,8.584004522056093,0.5115990598483982,134.9699950652922
80,0,0.0,rls_amp,-10.01868516222266,-20.03737032444532,-11.631259251606899,1.4142135623730951,10.9638048303008,10.852350513930627,-2.341751011523123,97.17839644700956
80,10,14.106158456677198,phase_only,-5.6565486909619525,-11.313097381923905,-8.333102427739934,1.4142135623730914,8.67017448249685,8.538007826712166,0.15832339732445805,129.590584555897
80,10,14.106158456677198,rls_amp,-9.457364231798932,-18.914728463597864,-10.81799897592299,1.4142135623730914,10.49583327341276,10.637721972962204,-2.695026674045625,93.30522088025907
