case,distance_mm,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,rho_mm,amplitude,phase_deg
R100_x-15,100,-15.0,0.0,E00,0.000,0.000,0.000,1.000000,121.749
R100_x-15,100,-15.0,0.0,E01,19.500,0.000,19.500,0.434506,199.531
R100_x-15,100,-15.0,0.0,E02,12.160,15.250,19.505,0.529570,274.861
R100_x-15,100,-15.0,0.0,E03,-4.340,19.010,19.499,0.963625,89.221
R100_x-15,100,-15.0,0.0,E04,-17.570,8.460,19.501,1.000000,234.348
R100_x-15,100,-15.0,0.0,E05,-17.570,-8.460,19.501,1.000000,234.348
R100_x-15,100,-15.0,0.0,E06,-4.340,-19.010,19.499,0.963625,89.221
R100_x-15,100,-15.0,0.0,E07,12.160,-15.250,19.505,0.529570,274.861
R100_x-15,100,-15.0,0.0,E08,37.000,0.000,37.000,0.157020,201.207
R100_x-15,100,-15.0,0.0,E09,28.340,23.780,36.995,0.177260,283.615
R100_x-15,100,-15.0,0.0,E10,6.420,36.440,37.001,0.343806,138.623
R100_x-15,100,-15.0,0.0,E11,-18.500,32.040,36.997,0.750145,36.307
R100_x-15,100,-15.0,0.0,E12,-34.770,12.650,37.000,1.000000,213.186
R100_x-15,100,-15.0,0.0,E13,-34.770,-12.650,37.000,1.000000,213.186
R100_x-15,100,-15.0,0.0,E14,-18.500,-32.040,36.997,0.750145,36.307
R100_x-15,100,-15.0,0.0,E15,6.420,-36.440,37.001,0.343806,138.623
R100_x-15,100,-15.0,0.0,E16,28.340,-23.780,36.995,0.177260,283.615
R100_x-15,100,-15.0,0.0,E17,58.000,0.000,58.000,0.000000,29.142
R100_x-15,100,-15.0,0.0,E18,52.990,23.590,58.004,0.009747,71.794
R100_x-15,100,-15.0,0.0,E19,38.810,43.100,57.999,0.019807,194.714
R100_x-15,100,-15.0,0.0,E20,17.920,55.160,57.998,0.056121,21.139
R100_x-15,100,-15.0,0.0,E21,-6.060,57.680,57.997,0.156803,244.058
R100_x-15,100,-15.0,0.0,E22,-29.000,50.230,58.000,0.298230,107.393
R100_x-15,100,-15.0,0.0,E23,-46.920,34.090,57.997,0.500509,289.895
R100_x-15,100,-15.0,0.0,E24,-56.730,12.060,57.998,0.683674,33.017
R100_x-15,100,-15.0,0.0,E25,-56.730,-12.060,57.998,0.683674,33.017
R100_x-15,100,-15.0,0.0,E26,-46.920,-34.090,57.997,0.500509,289.895
R100_x-15,100,-15.0,0.0,E27,-29.000,-50.230,58.000,0.298230,107.393
R100_x-15,100,-15.0,0.0,E28,-6.060,-57.680,57.997,0.156803,244.058
R100_x-15,100,-15.0,0.0,E29,17.920,-55.160,57.998,0.056121,21.139
R100_x-15,100,-15.0,0.0,E30,38.810,-43.100,57.999,0.019807,194.714
R100_x-15,100,-15.0,0.0,E31,52.990,-23.590,58.004,0.009747,71.794
R100_x15,100,15.0,0.0,E00,0.000,0.000,0.000,1.000000,121.749
R100_x15,100,15.0,0.0,E01,19.500,0.000,19.500,1.000000,255.960
R100_x15,100,15.0,0.0,E02,12.160,15.250,19.505,1.000000,174.351
R100_x15,100,15.0,0.0,E03,-4.340,19.010,19.499,0.682761,356.643
R100_x15,100,15.0,0.0,E04,-17.570,8.460,19.501,0.459040,219.219
R100_x15,100,15.0,0.0,E05,-17.570,-8.460,19.501,0.459040,219.219
R100_x15,100,15.0,0.0,E06,-4.340,-19.010,19.499,0.682761,356.643
R100_x15,100,15.0,0.0,E07,12.160,-15.250,19.505,1.000000,174.351
R100_x15,100,15.0,0.0,E08,37.000,0.000,37.000,1.000000,238.027
R100_x15,100,15.0,0.0,E09,28.340,23.780,36.995,1.000000,142.444
R100_x15,100,15.0,0.0,E10,6.420,36.440,37.001,0.512728,269.485
R100_x15,100,15.0,0.0,E11,-18.500,32.040,36.997,0.240893,18.913
R100_x15,100,15.0,0.0,E12,-34.770,12.650,37.000,0.156859,222.280
